,ip,app,device,os,channel,is_attributed,date,time
0,87540,12,1,13,497,0,7,9
1,105560,25,1,17,259,0,7,13
2,101424,12,1,19,212,0,7,18
3,94584,13,1,13,477,0,7,4
4,68413,12,1,1,178,0,9,9
5,93663,3,1,17,115,0,9,1
6,17059,1,1,17,135,0,9,1
7,121505,9,1,25,442,0,7,10
8,192967,2,2,22,364,0,8,9
9,143636,3,1,19,135,0,8,12
10,73839,3,1,22,489,0,8,8
11,34812,3,1,13,489,0,7,5
12,114809,3,1,22,205,0,9,10
13,114220,6,1,20,125,0,8,14
14,36150,2,1,13,205,0,7,0
15,72116,25,2,19,259,0,8,23
16,5314,2,1,2,477,0,9,7
17,106598,3,1,20,280,0,9,3
18,72065,20,2,90,259,0,6,23
19,37301,14,1,13,349,0,6,20
20,28735,12,1,19,265,0,9,9
21,66918,64,1,25,459,0,8,17
22,25761,9,1,10,215,0,8,2
23,8362,7,1,19,101,0,7,10
24,45257,3,1,18,280,0,7,1
25,145896,64,1,13,459,0,7,3
26,162976,3,1,13,115,0,7,16
27,52432,1,1,13,115,0,7,17
28,135690,12,1,40,122,0,7,6
29,139137,12,1,13,497,0,7,10
30,48846,3,1,19,379,0,9,3
31,70747,64,1,15,459,0,7,14
32,10831,15,1,19,386,0,9,12
33,89242,1,1,27,124,0,7,9
34,140138,12,1,13,265,0,7,7
35,28411,14,1,13,442,0,6,23
36,127888,13,1,23,477,0,6,16
37,75943,2,1,53,477,0,7,13
38,87879,3,1,13,115,0,7,3
39,250933,3,1,13,280,0,8,11
40,133933,12,1,13,140,0,7,11
41,35096,18,1,19,107,0,9,15
42,49431,15,1,49,245,0,7,23
43,53365,15,1,19,111,0,9,4
44,92599,25,2,13,259,0,9,10
45,107148,15,1,13,140,0,7,0
46,116677,9,1,13,134,0,8,0
47,11051,15,1,19,245,0,8,2
48,48240,2,1,19,122,0,8,14
49,92488,14,1,18,401,0,8,17
50,74999,11,1,13,137,0,9,15
51,123221,15,1,20,245,0,7,15
52,4019,12,1,19,265,0,9,1
53,40168,8,1,13,145,0,7,2
54,328403,15,1,13,278,0,9,3
55,134466,64,1,13,459,0,8,10
56,122354,9,1,19,134,0,7,23
57,104645,14,1,19,379,0,9,12
58,184757,3,1,13,409,0,8,9
59,3488,3,1,22,115,0,7,0
60,63994,3,1,13,115,0,7,3
61,52076,23,1,10,153,0,8,16
62,88604,6,1,17,459,0,6,16
63,9073,3,1,37,466,0,8,4
64,105861,3,1,10,442,0,6,20
65,25114,18,1,13,107,0,8,2
66,25876,21,1,26,128,0,8,9
67,61941,64,1,41,459,0,7,23
68,79827,11,1,19,481,0,8,18
69,99641,15,1,22,386,0,8,3
70,171729,9,1,13,334,0,7,10
71,257816,3,1,19,424,0,9,12
72,100494,64,1,8,459,0,7,13
73,5348,8,1,11,145,0,8,13
74,137208,2,1,13,212,0,7,10
75,81356,56,1,9,406,0,9,11
76,58128,15,1,13,245,0,7,12
77,71483,3,1,9,115,0,8,0
78,7521,12,1,15,409,0,9,12
79,100066,18,1,14,134,0,7,9
80,259930,15,1,28,245,0,8,11
81,30240,3,1,17,137,0,8,16
82,63109,23,1,25,153,0,9,1
83,5314,28,1,19,135,0,7,14
84,36311,3,1,19,115,0,9,0
85,44494,9,1,17,489,0,9,11
86,111021,36,1,15,373,0,8,5
87,210555,9,1,8,134,0,6,16
88,6414,2,1,47,377,0,9,14
89,123729,18,1,10,107,0,8,23
90,73040,14,1,19,401,0,7,16
91,334558,2,1,13,435,0,9,5
92,123994,1,1,19,101,0,9,14
93,94536,3,1,25,424,0,7,4
94,127351,25,1,13,259,0,7,16
95,2600,12,1,18,265,0,7,19
96,99926,12,1,13,245,0,6,18
97,114878,2,2,9,477,0,7,2
